Sum of Votes,,RaceOrder,RaceName,BallotOrder,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,401,,620,,621,,622,,623,,624,,625,,626,,627,,628,,629,,630,,631,,700,,Итого
,,State Measures - Referendum Measure No. 88,,State Measures - Initiative Measure No. 976,,Advisory Votes - Advisory Vote No. 20,,Advisory Votes - Advisory Vote No. 21,,Advisory Votes - Advisory Vote No. 22,,Advisory Votes - Advisory Vote No. 23,,Advisory Votes - Advisory Vote No. 24,,Advisory Votes - Advisory Vote No. 25,,Advisory Votes - Advisory Vote No. 26,,Advisory Votes - Advisory Vote No. 27,,Advisory Votes - Advisory Vote No. 28,,Advisory Votes - Advisory Vote No. 29,,Advisory Votes - Advisory Vote No. 30,,Advisory Votes - Advisory Vote No. 31,,Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200,,
,,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
DistrictNumber,DistrictName,Approved,Rejected,Yes,No,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Approved,Rejected,
29,LEGISLATIVE DISTRICT 29,10067,11185,15472,6335,14195,6627,13860,7002,14703,6146,9061,12068,14257,6481,12843,7978,13465,7332,15142,5790,11118,9588,15143,5659,12811,7894,10094,10617,12771,8100,313804
30,LEGISLATIVE DISTRICT 30,13550,15182,19201,10484,18960,8829,17729,10330,18926,9007,10972,17204,18473,8965,16511,11115,17049,10637,19249,8811,14134,13585,19632,8024,16750,10926,13138,14593,18074,10654,420694
31,LEGISLATIVE DISTRICT 31,13962,25225,29162,11428,28884,9429,27137,11422,29012,9422,16535,22363,28866,9174,26438,11802,26568,11702,29693,8932,21653,16482,30235,8033,26180,12059,20831,17337,21455,17369,578790
32,LEGISLATIVE DISTRICT 32,26090,15602,17806,25621,20027,19300,19064,20624,19353,19961,10254,29874,19174,19372,16217,22763,16460,22477,18527,21087,13444,25551,20369,18463,16939,21981,12245,26899,31535,10020,597099
33,LEGISLATIVE DISTRICT 33,15401,13168,16742,12786,16805,10392,15940,11573,16477,10910,9729,17759,16235,10688,14325,12739,14756,12373,16576,10902,12171,14950,17288,9731,14570,12522,11195,15909,19487,8991,413090
34,LEGISLATIVE DISTRICT 34,36490,15785,18260,35776,19904,28469,19856,28976,19087,29341,9917,39212,19104,28274,15689,32207,16468,31455,17601,31193,13024,34952,20823,26818,16886,31085,12080,36034,42151,9873,736790
35,LEGISLATIVE DISTRICT 35,17445,26215,26730,18240,30452,12005,28063,14711,31057,11487,17328,25964,30667,11490,27732,14585,27382,14757,31136,11643,21935,20317,31526,10866,27303,14975,21011,21196,25091,18421,641730
36,LEGISLATIVE DISTRICT 36,46811,14697,15343,48040,17911,37551,17158,38908,15993,39568,7374,49300,16519,37733,12856,42112,13488,41380,13362,42710,10308,44688,18423,36246,14158,40713,9458,45644,52548,8431,849431
37,LEGISLATIVE DISTRICT 37,37643,8260,13130,33804,13273,29037,14861,27758,12598,29750,7631,35153,12589,28977,9989,31952,10941,30983,11359,31256,9312,32603,14015,27688,11007,30811,7936,34051,39091,6165,643623
38,LEGISLATIVE DISTRICT 38,13743,15761,18406,12567,19971,9510,18755,10708,19707,9561,11476,18193,19524,9490,17377,11846,17639,11493,19872,9671,14411,14768,20136,8898,17638,11531,13585,15674,18595,11203,441709
