,,Turnout,,,,R-74,,,I-502,
"Legislative
District",,"Reg.
Voters","Ballots
Cast                   ",%,,App.,Rej.,,Yes,No
,,,,,,,,,,
Leg Dist 44 Total,,85352,69350,81%,,34668,32999,,35501,32454
,,,,,,,,,,
Leg Dist 45,King                ,88214,75100,85%,,45224,28023,,42321,30968
Leg Dist 45 Total,,88214,75100,85%,,45224,28023,,42321,30968
,,,,,,,,,,
Leg Dist 46,King                ,94928,82365,87%,,62480,17978,,55052,24965
Leg Dist 46 Total,,94928,82365,87%,,62480,17978,,55052,24965
,,,,,,,,,,
Leg Dist 47,King                ,73115,58704,80%,,27963,29359,,30095,27214
Leg Dist 47 Total,,73115,58704,80%,,27963,29359,,30095,27214
,,,,,,,,,,
Leg Dist 48,King                ,76002,63988,84%,,39945,22125,,37367,24651
Leg Dist 48 Total,,76002,63988,84%,,39945,22125,,37367,24651
,,,,,,,,,,
Leg Dist 49,Clark               ,73684,57333,78%,,29854,25601,,30794,24759
Leg Dist 49 Total,,73684,57333,78%,,29854,25601,,30794,24759
,,,,,,,,,,
State Total,,3904959,3172939,81%,,1659915,1431285,,1724209,1371235
